steamid,name,player_side,equipment_value,type,match_checksum,tournament
76561198355739212,torzsi,Terrorist,3750,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Terrorist,3500,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Counter Terrorist,4400,semi,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Counter Terrorist,4500,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Terrorist,2300,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Counter Terrorist,5700,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Counter Terrorist,5800,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Terrorist,700,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Counter Terrorist,5400,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Counter Terrorist,4900,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Terrorist,700,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Counter Terrorist,5900,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Terrorist,700,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Terrorist,700,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Terrorist,700,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Counter Terrorist,5300,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Counter Terrorist,8150,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Counter Terrorist,5900,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Counter Terrorist,5900,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Terrorist,5000,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Counter Terrorist,5400,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Counter Terrorist,400,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Counter Terrorist,700,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Counter Terrorist,700,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Counter Terrorist,300,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Terrorist,5000,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Counter Terrorist,4500,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
