name,team,match_checksum,tournament
Team Spirit,Team B,ae8acf53d96c9a40,Perfect World Shanghai Major 2024
Team Spirit,Team A,7ae9740a4a1599be,Perfect World Shanghai Major 2024
FaZe Clan,Team B,7ae9740a4a1599be,Perfect World Shanghai Major 2024
Team Spirit,Team A,95cf3723443424db,Perfect World Shanghai Major 2024
FURIA,Team B,95cf3723443424db,Perfect World Shanghai Major 2024
HEROIC,Team A,823e1b1ec1f8acde,Perfect World Shanghai Major 2024
Team Spirit,Team B,823e1b1ec1f8acde,Perfect World Shanghai Major 2024
Team Spirit,Team A,7251ef81f4d63579,Perfect World Shanghai Major 2024
HEROIC,Team B,7251ef81f4d63579,Perfect World Shanghai Major 2024
HEROIC,Team A,cc72eab6abebddfb,Perfect World Shanghai Major 2024
Team Spirit,Team B,cc72eab6abebddfb,Perfect World Shanghai Major 2024
Team Spirit,Team A,d62ae962a7eb3c3b,Perfect World Shanghai Major 2024
Team Liquid,Team B,d62ae962a7eb3c3b,Perfect World Shanghai Major 2024
Team Liquid,Team A,8855159dbc2f9b32,Perfect World Shanghai Major 2024
Team Spirit,Team B,8855159dbc2f9b32,Perfect World Shanghai Major 2024
Team Spirit,Team A,f807a7ad93891ce5,Perfect World Shanghai Major 2024
Wildcard,Team B,f807a7ad93891ce5,Perfect World Shanghai Major 2024
HEROIC,Team A,9b81f93091aaeaf9,Perfect World Shanghai Major 2024
The MongolZ,Team B,9b81f93091aaeaf9,Perfect World Shanghai Major 2024
HEROIC,Team A,6ae6208fb5c39fb0,Perfect World Shanghai Major 2024
The MongolZ,Team B,6ae6208fb5c39fb0,Perfect World Shanghai Major 2024
HEROIC,Team A,43c6e2fb9051e355,Perfect World Shanghai Major 2024
The MongolZ,Team B,43c6e2fb9051e355,Perfect World Shanghai Major 2024
MOUZ,Team A,540b5836270265df,Perfect World Shanghai Major 2024
The MongolZ,Team B,540b5836270265df,Perfect World Shanghai Major 2024
The MongolZ,Team A,4267d9c850749520,Perfect World Shanghai Major 2024
MOUZ,Team B,4267d9c850749520,Perfect World Shanghai Major 2024
Vitality,Team A,c243fc28328815c,Perfect World Shanghai Major 2024
FaZe Clan,Team B,c243fc28328815c,Perfect World Shanghai Major 2024
FaZe Clan,Team A,bc1d6ce5a6d3a4b7,Perfect World Shanghai Major 2024
Vitality,Team B,bc1d6ce5a6d3a4b7,Perfect World Shanghai Major 2024
FaZe Clan,Team A,ef5428fc5dae1544,Perfect World Shanghai Major 2024
Vitality,Team B,ef5428fc5dae1544,Perfect World Shanghai Major 2024
Vitality,Team A,78b35a05e1f27c73,Perfect World Shanghai Major 2024
FURIA,Team B,78b35a05e1f27c73,Perfect World Shanghai Major 2024
Vitality,Team A,2740f54047c83411,Perfect World Shanghai Major 2024
GamerLegion,Team B,2740f54047c83411,Perfect World Shanghai Major 2024
MIBR,Team A,b3f709fcb800bb07,Perfect World Shanghai Major 2024
Vitality,Team B,b3f709fcb800bb07,Perfect World Shanghai Major 2024
MIBR,Team A,294467d4121747c,Perfect World Shanghai Major 2024
Vitality,Team B,294467d4121747c,Perfect World Shanghai Major 2024
